P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
216_II	B589	SP1777	-153.02085533649569	1.0	0.4996600951733514	130850.0	318.0	394.0	11.0	0.0	274.0	747.0	8.0	12.0	227.0	2.0	1.0	4.0	0.0	0.0
SP1777	216_II	B589	0.20819163991360093	0.417539698777477	0.9986431478968792	130850.0	394.0	274.0	12.0	1.0	318.0	11.0	0.0	747.0	227.0	4.0	8.0	0.0	2.0	0.0
216_II	SP1777	Cooper	-99999.9	1.0	3.2857142857142856	131570.0	232.0	251.0	87.0	2.0	216.0	71.0	2.0	48.0	942.0	1.0	3.0	6.0	1.0	0.0
216_II	Cooper	SP1777	2.198837865638301	0.01394467822678147	0.3709677419354839	131570.0	251.0	232.0	87.0	2.0	216.0	48.0	3.0	71.0	942.0	6.0	2.0	1.0	1.0	0.0
SP1777	216_II	Cooper	-1.529626341313602	0.9369453562360083	0.7090909090909091	131570.0	232.0	216.0	71.0	2.0	251.0	87.0	2.0	48.0	942.0	1.0	3.0	1.0	6.0	0.0
216_II	K22	B589	7.621419610472107	1.2656542480726785e-14	0.7864271457085827	113376.5	210.5	14665.0	145.0	38.0	402.0	38.0	3.0	432.0	150.0	2.0	123.0	21.0	0.0	0.0
216_II	B589	K22	-20.44249932902331	1.0	0.57856093979442	113376.5	14665.0	210.5	145.0	38.0	402.0	432.0	123.0	38.0	150.0	21.0	3.0	2.0	0.0	0.0
K22	216_II	B589	-5.551643218795672	0.9999999858137849	1.5944444444444443	113376.5	210.5	402.0	38.0	3.0	14665.0	145.0	38.0	432.0	150.0	2.0	123.0	0.0	21.0	0.0
216_II	K22	Cooper	-15.189278162694503	1.0	0.5611510791366907	113816.0	161.0	14745.0	101.0	32.0	160.0	284.0	1.0	50.0	536.0	3.0	35.0	114.0	0.0	0.0
216_II	Cooper	K22	4.233077520750928	1.1533295983690017e-05	0.8210526315789474	113816.0	14745.0	161.0	101.0	32.0	160.0	50.0	35.0	284.0	536.0	114.0	1.0	3.0	0.0	0.0
K22	216_II	Cooper	-99999.9	1.0	-0.3863636363636363	113816.0	161.0	160.0	284.0	1.0	14745.0	101.0	32.0	50.0	536.0	3.0	35.0	0.0	114.0	0.0
216_II	B589	Cooper	-104.29376069686693	1.0	0.5140939597315436	131079.0	272.0	360.0	44.0	0.0	265.0	768.0	2.0	2.0	241.0	0.0	0.0	3.0	2.0	0.0
216_II	Cooper	B589	6.05019053766356	7.260547718601629e-10	0.948019801980198	131079.0	360.0	272.0	44.0	0.0	265.0	2.0	0.0	768.0	241.0	3.0	2.0	0.0	2.0	0.0
B589	216_II	Cooper	-99999.9	1.0	-0.06158357771260997	131079.0	272.0	265.0	768.0	2.0	360.0	44.0	0.0	2.0	241.0	0.0	0.0	2.0	3.0	0.0
SP1777	K22	B589	7.868165402395424	1.7763568394002505e-15	0.8025594149908593	113311.0	224.0	14609.0	141.0	41.0	422.0	33.0	3.0	472.0	155.0	1.0	127.0	19.0	1.0	0.0
SP1777	B589	K22	-24.11446989067487	1.0	0.5701298701298702	113311.0	14609.0	224.0	141.0	41.0	422.0	472.0	127.0	33.0	155.0	19.0	3.0	1.0	1.0	0.0
K22	SP1777	B589	-5.932489175838008	0.9999999985030202	1.484304932735426	113311.0	224.0	422.0	33.0	3.0	14609.0	141.0	41.0	472.0	155.0	1.0	127.0	1.0	19.0	0.0
SP1777	K22	Cooper	-14.853473311441087	1.0	0.5139949109414758	113805.0	170.0	14713.0	92.0	30.0	175.0	283.0	1.0	81.0	555.0	3.0	28.0	120.0	4.0	0.0
SP1777	Cooper	K22	0.8554356357374443	0.1961549664593728	0.9483568075117371	113805.0	14713.0	170.0	92.0	30.0	175.0	81.0	28.0	283.0	555.0	120.0	1.0	3.0	4.0	0.0
K22	SP1777	Cooper	-99999.9	1.0	-0.06111111111111111	113805.0	170.0	175.0	283.0	1.0	14713.0	92.0	30.0	81.0	555.0	3.0	28.0	4.0	120.0	0.0
SP1777	B589	Cooper	-100.48330008215675	1.0	0.5148005148005148	130986.0	260.0	366.0	50.0	0.0	309.0	804.0	6.0	4.0	237.0	0.0	0.0	3.0	3.0	0.0
SP1777	Cooper	B589	6.13028090686897	4.403357678484099e-10	0.9456264775413712	130986.0	366.0	260.0	50.0	0.0	309.0	4.0	0.0	804.0	237.0	3.0	6.0	0.0	3.0	0.0
B589	SP1777	Cooper	-99999.9	1.0	-0.06497175141242938	130986.0	260.0	309.0	804.0	6.0	366.0	50.0	0.0	4.0	237.0	0.0	0.0	3.0	3.0	0.0
K22	B589	Cooper	-25.812948728066793	1.0	0.455026455026455	113462.0	399.0	202.0	57.0	3.0	14671.0	469.0	118.0	125.0	174.0	0.0	31.0	0.0	30.0	0.0
K22	Cooper	B589	-4.2603895958945195	0.999989789524634	1.2463768115942029	113462.0	202.0	399.0	57.0	3.0	14671.0	125.0	31.0	469.0	174.0	0.0	118.0	0.0	30.0	0.0
B589	K22	Cooper	5.102559632292272	1.6783736556114093e-07	0.1416666666666667	113462.0	399.0	14671.0	469.0	118.0	202.0	57.0	3.0	125.0	174.0	0.0	31.0	30.0	0.0	0.0
